number,name,district
1,אבו ג'ווייעד (שבט),6
2,אבו גוש,1
3,אבו סנאן,2
4,אבו סריחאן (שבט),6
5,אבו עבדון (שבט),6
6,אבו עמאר (שבט),6
7,אבו עמרה (שבט),6
8,אבו קורינאת (יישוב),6
9,אבו קורינאת (שבט),6
10,אבו רובייעה (שבט),6
11,אבו רוקייק (שבט),6
12,אבו תלול,6
13,אבטין,3
14,אבטליון,2
15,אביאל,3
16,אביבים,2
17,אביגדור,6
18,אביחיל,4
19,אביטל,2
20,אביעזר,1
21,אבירים,2
22,אבן יהודה,4
23,אבן מנחם,2
24,אבן ספיר,1
25,אבן שמואל,6
26,אבני איתן,2
27,אבני חפץ,7
28,אבנת,7
29,אבשלום,6
30,אדורה,7
31,אדירים,2
32,אדמית,2
33,אדרת,1
34,אודים,4
35,אודם,2
36,אוהד,6
37,אום אל-פחם,3
38,אום אל-קוטוף,3
39,אום בטין,6
40,אומן,2
41,אומץ,4
42,אופקים,6
43,אור הגנוז,2
44,אור הנר,6
45,אור יהודה,5
46,אור עקיבא,3
47,אורה,1
48,אורון,6
49,אורות,6
50,אורטל,2
51,אורים,6
52,אורנים,3
53,אורנית,7
54,אושה,3
55,אזור,5
56,אחווה,6
57,אחוזם,6
58,אחוזת ברק,2
59,אחיהוד,2
60,אחיטוב,4
61,אחיסמך,4
62,אחיעזר,4
63,אטרש (שבט),6
64,איבים,6
65,אייל,4
66,איילת השחר,2
67,אילון,2
68,אילות,6
69,אילנייה,2
70,אילת,6
71,אירוס,4
72,איתמר,7
73,איתן,6
74,איתנים,1
75,אכסאל,2
76,אל -עזי,6
77,אל -עריאן,3
78,אל -רום,2
79,אל סייד,6
80,אלומה,6
81,אלומות,2
82,אלון הגליל,2
83,אלון מורה,7
84,אלון שבות,7
85,אלוני אבא,2
86,אלוני הבשן,2
87,אלוני יצחק,3
88,אלונים,2
89,אלי-עד,2
90,אליאב,6
91,אליכין,4
92,אליפז,6
93,אליפלט,2
94,אליקים,2
95,אלישיב,4
96,אלישמע,4
97,אלמגור,2
98,אלמוג,7
99,אלעד,4
100,אלעזר,7
101,אלפי מנשה,7
102,אלקוש,2
103,אלקנה,7
104,אמונים,6
105,אמירים,2
106,אמנון,2
107,אמציה,6
108,אניעם,2
109,אסד (שבט),6
110,אספר,7
111,אעבלין,2
112,אעצם (שבט),6
113,אפיניש (שבט),6
114,אפיק,2
115,אפיקים,2
116,אפק,2
117,אפרת,7
118,ארבל,2
119,ארגמן,7
120,ארז,6
121,אריאל,7
122,ארסוף,4
123,אשבול,6
124,אשבל,2
125,אשדוד,6
126,אשדות יעקב (איחוד),2
127,אשדות יעקב (מאוחד),2
128,אשחר,2
129,אשכולות,7
130,אשל הנשיא,6
131,אשלים,6
132,אשקלון,6
133,אשרת,2
134,אשתאול,1
135,באקה אל-גרביה,3
136,באר אורה,6
137,באר גנים,6
138,באר טוביה,6
139,באר יעקב,4
140,באר מילכה,6
141,באר שבע,6
142,בארות יצחק,4
143,בארותיים,4
144,בארי,6
145,בוסתן הגליל,2
146,בועיינה-נוג'ידאת,2
147,בוקעאתא,2
148,בורגתה,4
149,בחן,4
150,בטחה,6
151,ביצרון,6
152,ביר אל-מכסור,2
153,ביר הדאג',6
154,בירייה,2
155,בית אורן,3
156,בית אל,7
157,בית אלעזרי,4
158,בית אלפא,2
159,בית אריה-עופרים,7
160,בית ברל,4
161,בית ג'ן,2
162,בית גוברין,6
163,בית גמליאל,4
164,בית דגן,4
165,בית הגדי,6
166,בית הלוי,4
167,בית הלל,2
168,בית העמק,2
169,בית הערבה,7
170,בית השיטה,2
171,בית זיד,2
172,בית זית,1
173,בית זרע,2
174,בית חורון,7
175,בית חירות,4
176,בית חלקיה,4
177,בית חנן,4
178,בית חנניה,3
179,בית חשמונאי,4
180,בית יהושע,4
181,בית יוסף,2
182,בית ינאי,4
183,בית יצחק-שער חפר,4
184,בית לחם הגלילית,2
185,בית מאיר,1
186,בית נחמיה,4
187,בית ניר,6
188,בית נקופה,1
189,בית עובד,4
190,בית עוזיאל,4
191,בית עזרא,6
192,בית עריף,4
193,בית צבי,3
194,בית קמה,6
195,בית קשת,2
196,בית רבן,4
197,בית רימון,2
198,בית שאן,2
199,בית שמש,1
200,בית שערים,2
201,בית שקמה,6
202,ביתן אהרן,4
203,ביתר עילית,7
204,בלפוריה,2
205,בן זכאי,4
206,בן עמי,2
207,בן שמן (כפר נוער),4
208,בן שמן (מושב),4
209,בני ברק,5
210,בני דקלים,6
211,בני דרום,4
212,בני דרור,4
213,בני יהודה,2
214,בני נצרים,6
215,בני עטרות,4
216,"בני עי""ש",4
217,בני ציון,4
218,בני ראם,4
219,בניה,4
220,בנימינה-גבעת עדה*,3
221,"בסמ""ה",3
222,בסמת טבעון,2
223,בענה,2
224,בצרה,4
225,בצת,2
226,בקוע,1
227,בקעות,7
228,בר גיורא,1
229,בר יוחאי,2
230,ברוכין,7
231,ברור חיל,6
232,ברוש,6
233,ברכה,7
234,ברכיה,6
235,ברעם,2
236,ברק,2
237,ברקאי,3
238,ברקן,7
239,ברקת,4
240,בת הדר,6
241,בת חן,4
242,בת חפר,4
243,בת ים,5
244,בת עין,7
245,בת שלמה,3
246,ג'דיידה-מכר,2
247,ג'ולס,2
248,ג'לג'וליה,4
249,ג'נאביב (שבט),6
250,ג'סר א-זרקא,3
251,ג'ש (גוש חלב),2
252,ג'ת,3
253,גאולי תימן,4
254,גאולים,4
255,גאליה,4
256,גבולות,6
257,גבים,6
258,גבע,2
259,גבע בנימין,7
260,גבע כרמל,3
261,גבעולים,6
262,גבעון החדשה,7
263,גבעות בר,6
264,גבעת אבני,2
265,גבעת אלה,2
266,גבעת ברנר,4
267,גבעת השלושה,4
268,גבעת זאב,7
269,"גבעת ח""ן",4
270,גבעת חיים (איחוד),4
271,גבעת חיים (מאוחד),4
272,גבעת יואב,2
273,גבעת יערים,1
274,גבעת ישעיהו,1
275,"גבעת כ""ח",4
276,"גבעת ניל""י",3
277,גבעת עוז,2
278,גבעת שמואל,4
279,גבעת שמש,1
280,גבעת שפירא,4
281,גבעתי,6
282,גבעתיים,5
283,גברעם,6
284,גבת,2
285,גדות,2
286,גדיש,2
287,גדעונה,2
288,גדרה,4
289,גונן,2
290,גורן,2
291,גורנות הגליל,2
292,גזית,2
293,גזר,4
294,גיאה,6
295,גיבתון,4
296,גיזו,1
297,גילון,2
298,גילת,6
299,גינוסר,2
300,גיניגר,2
301,גינתון,4
302,גיתה,2
303,גיתית,7
304,גלאון,6
305,גלגל,7
306,גליל ים,5
307,גלעד (אבן יצחק),2
308,גמזו,4
309,גן הדרום,4
310,גן השומרון,3
311,גן חיים,4
312,גן יאשיה,4
313,גן יבנה,4
314,גן נר,2
315,גן שורק,4
316,גן שלמה,4
317,גן שמואל,3
318,גנות,4
319,גנות הדר,4
320,גני הדר,4
321,גני טל,4
322,גני יוחנן,4
323,גני מודיעין,7
324,גני עם,4
325,גני תקווה,4
326,געש,4
327,געתון,2
328,גפן,1
329,גרופית,6
330,גשור,2
331,גשר,2
332,גשר הזיו,2
333,גת (קיבוץ),6
334,גת רימון,4
335,דאלית אל-כרמל,3
336,דבורה,2
337,דבורייה,2
338,דבירה,6
339,דברת,2
340,דגניה א',2
341,דגניה ב',2
342,"דוב""ב",2
343,דולב,7
344,דור,3
345,דורות,6
346,דחי,2
347,דייר אל-אסד,2
348,דייר חנא,2
349,דייר ראפאת,1
350,דימונה,6
351,דישון,2
352,דלייה,2
353,דלתון,2
354,דמיידה,2
355,דן,2
356,דפנה,2
357,דקל,6
358,דריג'את,6
359,האון,2
360,הבונים,3
361,הגושרים,2
362,הדר עם,4
363,הוד השרון,4
364,הודיות,2
365,הודייה,6
366,הוואשלה (שבט),6
367,הוזייל (שבט),6
368,הושעיה,2
369,הזורע,2
370,הזורעים,2
371,החותרים,3
372,היוגב,2
373,הילה,2
374,המעפיל,4
375,הסוללים,2
376,העוגן,4
377,הר אדר,7
378,הר גילה,7
379,הר עמשא,6
380,הראל,1
381,הרדוף,2
382,הרצלייה,5
383,הררית,2
384,ורד יריחו,7
385,ורדון,6
386,זבארגה (שבט),6
387,זבדיאל,6
388,זוהר,6
389,זיקים,6
390,זיתן,4
391,זכרון יעקב,3
392,זכריה,1
393,זמר,4
394,זמרת,6
395,זנוח,1
396,זרועה,6
397,זרזיר,2
398,זרחיה,6
399,ח'ואלד,3
400,ח'ואלד (שבט),2
401,חבצלת השרון,4
402,חבר,2
403,חגור,4
404,חגי,7
405,חגלה,4
406,חד-נס,2
407,חדיד,4
408,חדרה,3
409,חוג'ייראת (ד'הרה) (שבט),2
410,חולדה,4
411,חולון,5
412,חולית,6
413,חולתה,2
414,חוסן,2
415,חוסנייה,2
416,חופית,4
417,חוקוק,2
418,חורה,6
419,חורפיש,2
420,חורשים,4
421,חזון,2
