,agency_id,line_id,number_of_trips_today,agency_popularity
0,3,10402,155,1
1,3,13059,134,2
2,3,59015,132,3
3,3,10417,130,4
4,3,10418,122,5
5,3,10480,115,6
6,3,18018,108,7
7,3,12039,107,8
8,3,10115,104,9
9,3,12067,97,10
10,3,21078,97,10
11,3,10018,95,11
12,3,10123,95,11
13,3,31077,95,11
14,3,11419,95,11
15,3,12025,94,12
16,3,11101,90,13
17,3,10450,89,14
18,3,28023,88,15
19,3,13052,87,16
20,3,13068,87,16
21,3,17071,86,17
22,3,14032,85,18
23,3,18007,83,19
24,3,17072,83,19
25,3,22066,83,19
26,3,23034,83,19
27,3,18074,82,20
28,3,17409,82,20
29,3,18013,81,21
30,3,13064,81,21
31,3,13033,80,22
32,3,15019,80,22
33,3,11136,80,22
34,3,13112,80,22
35,3,10013,79,23
36,3,11003,78,24
37,3,12065,78,24
38,3,22083,77,25
39,3,10012,76,26
40,3,10201,75,27
41,3,16020,75,27
42,3,10037,73,28
43,3,10405,73,28
44,3,16011,73,28
45,3,10019,72,29
46,3,30022,72,29
47,3,27087,70,30
48,3,21088,70,30
49,3,12022,69,31
50,3,14024,69,31
51,3,10005,67,32
52,3,21003,67,32
53,3,16071,66,33
54,3,16028,66,33
55,3,12171,65,34
56,3,34001,65,34
57,3,15031,65,34
58,3,13111,65,34
59,3,20005,65,34
60,3,25026,65,34
61,3,13014,65,34
62,3,10017,64,35
63,3,49005,64,35
64,3,40052,64,35
65,3,21085,63,36
66,3,10028,63,36
67,3,18099,63,36
68,3,12271,63,36
69,3,19075,63,36
70,3,11164,62,37
71,3,11011,62,37
72,3,10024,62,37
73,3,15014,62,37
74,3,14009,62,37
75,3,12035,62,37
76,3,13026,62,37
77,3,13007,61,38
78,3,21004,61,38
79,3,76015,61,38
80,3,10133,60,39
81,3,10825,60,39
82,3,16057,59,40
83,3,10947,58,41
84,3,10300,58,41
85,3,21005,58,41
86,3,14010,58,41
87,3,10274,57,42
88,3,10262,57,42
89,3,40015,57,42
90,3,10852,56,43
91,3,10826,56,43
92,3,17021,56,43
93,3,60021,56,43
94,3,88004,56,43
95,3,17011,56,43
96,3,73003,56,43
97,3,16056,55,44
98,3,59013,54,45
99,3,57007,54,45
100,3,88003,54,45
101,3,15016,53,46
102,3,27029,53,46
103,3,36021,53,46
104,3,28001,53,46
105,3,22002,53,46
106,3,92005,53,46
107,3,13036,52,47
108,3,49014,52,47
109,3,10040,51,48
110,3,13027,51,48
111,3,10845,50,49
112,3,42074,50,49
113,3,10470,49,50
114,3,10016,48,51
115,3,54010,48,51
116,3,12014,47,52
117,3,11301,47,52
118,3,13173,47,52
119,3,19012,47,52
120,3,17055,47,52
121,3,13016,46,53
122,3,10921,46,53
123,3,10836,45,54
124,3,14048,45,54
125,3,18017,45,54
126,3,31044,45,54
127,3,10910,44,55
128,3,13002,44,55
129,3,12143,44,55
130,3,19095,43,56
131,3,10249,43,56
132,3,10020,43,56
133,3,10263,42,57
134,3,13054,42,57
135,3,10448,41,58
136,3,10560,41,58
137,3,11012,40,59
138,3,13045,40,59
139,3,17006,40,59
140,3,48030,40,59
141,3,10970,39,60
142,3,53014,39,60
143,3,46006,39,60
144,3,12411,39,60
145,3,10437,38,61
146,3,10909,38,61
147,3,81002,38,61
148,3,39050,38,61
149,3,37044,38,61
150,3,10442,37,62
151,3,23002,37,62
152,3,10132,37,62
153,3,14020,37,62
154,3,10960,36,63
155,3,29001,36,63
156,3,10900,36,63
157,3,23025,36,63
158,3,17017,36,63
159,3,51054,36,63
160,3,10433,35,64
161,3,14023,35,64
162,3,10556,35,64
163,3,10045,35,64
164,3,13012,34,65
165,3,12037,34,65
166,3,27024,34,65
167,3,16015,33,66
168,3,11009,33,66
169,3,10047,33,66
170,3,10049,33,66
171,3,71003,33,66
172,3,10072,32,67
173,3,12050,32,67
174,3,10033,31,68
175,3,10034,31,68
176,3,10038,31,68
177,3,10446,31,68
178,3,10555,31,68
179,3,64080,31,68
180,3,15013,31,68
181,3,10071,30,69
182,3,53012,30,69
183,3,50087,30,69
184,3,17007,29,70
185,3,10558,29,70
186,3,10078,29,70
187,3,12163,28,71
188,3,10030,28,71
189,3,10076,28,71
190,3,10542,28,71
191,3,34088,28,71
192,3,15018,28,71
193,3,10972,27,72
194,3,10557,27,72
195,3,10500,27,72
196,3,65008,27,72
197,3,48063,27,72
198,3,13146,27,72
199,3,14414,27,72
200,3,13003,26,73
201,3,14004,26,73
202,3,10210,26,73
203,3,10146,26,73
204,3,23096,26,73
205,3,10043,26,73
206,3,30027,26,73
207,3,78011,26,73
208,3,71012,26,73
209,3,10200,25,74
210,3,10434,25,74
211,3,10821,25,74
212,3,18005,25,74
213,3,10077,25,74
214,3,73005,25,74
215,3,14137,25,74
216,3,10029,25,74
217,3,10430,24,75
218,3,16005,24,75
219,3,10319,24,75
220,3,10205,24,75
221,3,10426,23,76
222,3,10039,23,76
223,3,33001,22,77
224,3,10036,22,77
225,3,15003,22,77
226,3,15026,22,77
227,3,18006,22,77
228,3,10070,21,78
229,3,10221,21,78
230,3,14001,21,78
231,3,12005,21,78
232,3,32001,20,79
233,3,12012,20,79
234,3,10343,20,79
235,3,10208,20,79
236,3,15144,20,79
237,3,11873,20,79
238,3,10042,20,79
239,3,10406,20,79
240,3,17145,20,79
241,3,15057,20,79
242,3,12004,19,80
243,3,10031,19,80
244,3,12003,19,80
245,3,13004,19,80
246,3,11005,19,80
247,3,10394,19,80
248,3,10547,19,80
249,3,10940,19,80
250,3,10541,19,80
251,3,10202,19,80
252,3,10451,18,81
253,3,10998,18,81
254,3,10870,18,81
255,3,12053,18,81
256,3,10032,18,81
257,3,40074,18,81
258,3,13015,18,81
259,3,16022,18,81
